Solution #,Unfilled Shifts,Workload Std Dev
1,2.0,0.7926032522120682
2,3.0,0.6758308995927093
3,3.0,0.6758308995927093
4,3.0,0.6758308995927093
5,3.0,0.6758308995927093
6,4.0,0.634155357992009
7,4.0,0.634155357992009
8,5.0,0.5888885261835767
9,5.0,0.5888885261835767
10,5.0,0.5888885261835767
11,6.0,0.539126552347746
12,8.0,0.5044972678536709
13,8.0,0.5044972678536709
14,8.0,0.5044972678536709
15,8.0,0.5044972678536709
16,9.0,0.48507125007266594
