Solution #,Unfilled Shifts,Workload Std Dev
1,18.0,1.07496769977314
2,19.0,0.8997777503361594
3,21.0,0.8543743649920422
4,23.0,0.8055363982396381
5,27.0,0.8015540461434207
6,28.0,0.7659416862050705
7,29.0,0.7640826017010347
8,32.0,0.7570703768841808
9,45.0,0.6999682532483567
10,48.0,0.679869268479038
11,49.0,0.6523802572120037
12,49.0,0.6523802572120037
13,52.0,0.6057502235520292
